year_no,week_no,year_week,spot,future_0y,future_1y,future_2y,future_3y
2005,1,2005-01,220,222,230.5,238.5,245
2005,2,2005-02,216.7,217.7,226.9,236.3,242.4
2005,3,2005-03,213.2,214,222.9,232.8,238.8
2005,4,2005-04,211.2,211.3,219.7,231,237
2005,5,2005-05,212.05,212.65,230.3,231,236.4
2005,6,2005-06,220.7,229.2,234.2,229.2,234.2
2005,7,2005-07,212.05,212.3,219.05,228.4,234
2005,8,2005-08,210.6,211,217.6,227.1,233.8
2005,9,2005-09,207.7,207.75,212.5,221.2,229.8
2005,10,2005-10,201.6,201.6,207.6,216,226
2005,11,2005-11,198.7,198.7,205.2,214.6,223.6
2005,12,2005-12,197.88,197.88,203.5,212.25,230
2005,13,2005-13,199.38,,204.75,213,220
2005,14,2005-14,200.4,,206.6,213.5,218.6
2005,15,2005-15,202.1,,207.8,215.2,221.4
2005,16,2005-16,202,,208.1,215.5,222
2005,17,2005-17,204,,209.65,216.7,223.2
2005,18,2005-18,205.75,,211.69,217.69,224.25
2005,19,2005-19,206.1,,212.1,217.85,224.1
2005,20,2005-20,203.7,,209.55,216.4,223.2
2005,21,2005-21,205.1,,209.6,216.9,223.7
2005,22,2005-22,206,,210.9,217.8,224
2005,23,2005-23,206.3,,211.4,218.2,224.3
2005,24,2005-24,206.5,,212,218.5,225.4
2005,25,2005-25,206.81,,212.13,218.5,225.5
2005,26,2005-26,207.7,,212.8,218.9,225.8
2005,27,2005-27,206.6,,209.4,216.8,223.2
2005,28,2005-28,206.5,,208.5,216.5,223
2005,29,2005-29,207,,209.25,217.1,223
2005,30,2005-30,206.55,,209.05,217.5,223
2005,31,2005-31,206,,209,217.5,223
2005,32,2005-32,205.4,,207.6,216.6,222.6
2005,33,2005-33,204.5,,206.8,216,222
2005,34,2005-34,198.7,,200.9,209.8,216.8
2005,35,2005-35,193.9,,196.2,206.2,212.8
2005,36,2005-36,191,,194,204,211
2005,37,2005-37,186.8,,188.7,199.1,207.8
2005,38,2005-38,184.6,,187.5,197.5,206
2005,39,2005-39,184.2,,187.3,197.1,206
2005,40,2005-40,185,,187.05,196.5,205.1
2005,41,2005-41,184.1,,186.7,196.5,204.8
2005,42,2005-42,183.9,,186,196,204
2005,43,2005-43,184.1,,186.95,196.9,204
2005,44,2005-44,188,,191,200,206.2
2005,45,2005-45,192.7,,194.55,203.95,209.8
2005,46,2005-46,191.9,,193.75,203.1,209.15
2005,47,2005-47,190.1,,191.7,199.2,205.9
2005,48,2005-48,187.5,,188.5,196.9,204.5
2005,49,2005-49,186.2,,186.8,194.5,202.5
2005,50,2005-50,184.6,,185.35,192.6,201.5
2005,51,2005-51,184.3,,185.25,193.9,202
2005,52,2005-52,184.5,,185.25,194.83,202
2006,1,2006-01,183.88,184.75,194.13,201.75,208.25
2006,2,2006-02,180.2,181.5,189.7,199.04,206.1
2006,3,2006-03,177.5,179.1,186.5,196.4,203.9
2006,4,2006-04,173.6,174.5,183.55,193.4,201.4
2006,5,2006-05,170,172.2,180.3,190,199.4
2006,6,2006-06,167.8,168.4,175.7,187.6,197.2
2006,7,2006-07,165.4,166.1,172.6,182.9,192.9
2006,8,2006-08,170,171.2,177.2,187.3,196.6
2006,9,2006-09,179.1,179.6,184.9,194.1,203.4
2006,10,2006-10,188,188,194.2,202.9,208.4
2006,11,2006-11,182.6,182.6,189,197.8,205.8
2006,12,2006-12,172.8,172.8,180.2,187.5,196.8
2006,13,2006-13,170.8,170.8,175.1,184.8,195.6
2006,14,2006-14,168,,173.3,182.7,192.5
2006,15,2006-15,168.17,,173.67,182.83,192
2006,16,2006-16,169,,174.38,183.5,192.5
2006,17,2006-17,168.8,,174.1,182.8,192.2
2006,18,2006-18,166.9,,171.62,180,190.37
2006,19,2006-19,159.1,,163.9,173.9,183.7
2006,20,2006-20,156.4,,161,169.6,180.2
2006,21,2006-21,151.88,,154.8,163.12,175.13
2006,22,2006-22,149,,153.2,159.5,171.4
2006,23,2006-23,154.25,,158.12,166.37,175.5
2006,24,2006-24,151.5,,155,164.7,174.6
2006,25,2006-25,147.9,,151.25,160.5,170.75
2006,26,2006-26,151.28,,155,163.63,173.5
2006,27,2006-27,151.7,,155.5,164,173.5
2006,28,2006-28,152.7,,155.9,164.8,174.7
2006,29,2006-29,152.9,,155.9,165,175
