year_no,week_no,year_week,spot
2004,1,2004-01,252.55
2004,2,2004-02,252.55
2004,3,2004-03,252.55
2004,4,2004-04,252.55
2004,5,2004-05,246.98
2004,6,2004-06,246.98
2004,7,2004-07,246.98
2004,8,2004-08,246.98
2004,9,2004-09,246.98
2004,10,2004-10,240.03
2004,11,2004-11,240.03
2004,12,2004-12,240.03
2004,13,2004-13,240.03
2004,14,2004-14,207.26
2004,15,2004-15,207.26
2004,16,2004-16,207.26
2004,17,2004-17,207.26
2004,18,2004-18,235.82
2004,19,2004-19,235.82
2004,20,2004-20,235.82
2004,21,2004-21,235.82
2004,22,2004-22,235.82
2004,23,2004-23,236.38
2004,24,2004-24,236.38
2004,25,2004-25,236.38
2004,26,2004-26,236.38
2004,27,2004-27,233.72
2004,28,2004-28,233.72
2004,29,2004-29,233.72
2004,30,2004-30,233.72
2004,31,2004-31,234.78
2004,32,2004-32,234.78
2004,33,2004-33,234.78
2004,34,2004-34,234.78
2004,35,2004-35,234.78
2004,36,2004-36,233.2
2004,37,2004-37,233.2
2004,38,2004-38,233.2
2004,39,2004-39,233.2
2004,40,2004-40,235.07
2004,41,2004-41,235.07
2004,42,2004-42,235.07
2004,43,2004-43,235.07
2004,44,2004-44,235.07
2004,45,2004-45,232.82
2004,46,2004-46,232.82
2004,47,2004-47,232.82
2004,48,2004-48,232.82
2004,49,2004-49,223.43
2004,50,2004-50,223.43
2004,51,2004-51,223.43
2004,52,2004-52,223.43
2004,53,2004-53,223.43
