year_no,week_no,year_week,spot,future_0y,future_1y,future_2y,future_3y
2007,1,2007-01,203,206.12,221.75,232.5,242.62
2007,2,2007-02,195.5,197.7,208.2,218.3,228.3
2007,3,2007-03,199.7,200.3,210.1,220.3,230.3
2007,4,2007-04,208.8,210.8,221.6,230.8,238.6
2007,5,2007-05,219,220.2,228.8,238.8,248.8
2007,6,2007-06,209,209.85,219.6,229.2,239.2
2007,7,2007-07,208.1,208.2,218.5,228.4,238.4
2007,8,2007-08,210.4,210.5,219.8,229.6,239.6
2007,9,2007-09,209.6,209.6,216.7,226.8,236.8
2007,10,2007-10,202.6,202.6,208.3,219.2,229
2007,11,2007-11,203.5,203.5,209.5,220.5,230.3
2007,12,2007-12,200.3,200.3,205.3,215.5,226.1
2007,13,2007-13,194.4,194.4,200.9,211.3,221.2
2007,14,2007-14,191.75,,201.25,211.25,222.25
2007,15,2007-15,192.25,,201.75,211.25,222.12
2007,16,2007-16,194.1,,203.7,213,222.9
2007,17,2007-17,195.8,,204.6,214,224
2007,18,2007-18,198,,206,216,226
2007,19,2007-19,201.2,,209.8,219.6,229.4
2007,20,2007-20,201.5,,209.75,219.38,229.5
2007,21,2007-21,196.5,,205.5,215.8,226.3
2007,22,2007-22,199.1,,207.7,217.5,227.4
2007,23,2007-23,197.8,,206.4,216.5,226.7
2007,24,2007-24,190.9,,201.1,211.1,221.1
2007,25,2007-25,192.62,,201.17,210.75,220.67
2007,26,2007-26,196.3,,206.7,215,224.6
2007,27,2007-27,198.8,,208.1,217.2,226.2
2007,28,2007-28,200.2,,209,218.2,227.2
2007,29,2007-29,201.6,,210,219.5,228.6
2007,30,2007-30,202.1,,210.6,219.9,229.3
2007,31,2007-31,200.5,,209,218.4,228.4
2007,32,2007-32,200.3,,208.3,218.3,228.3
2007,33,2007-33,204,,212,221.8,231.1
2007,34,2007-34,205.6,,213.6,223.6,232.1
2007,35,2007-35,207.8,,215.5,224.7,233.33
2007,36,2007-36,210,,217.1,226.1,235.1
2007,37,2007-37,211.7,,218.7,226.5,235.7
2007,38,2007-38,213.8,,218.7,226.5,235.5
2007,39,2007-39,211.5,,216.9,224.9,233.9
2007,40,2007-40,210.9,,216.1,224.3,233.5
2007,41,2007-41,214,,218.8,225.8,233.7
2007,42,2007-42,217,,221.2,228.3,236.5
2007,43,2007-43,217.4,,221.3,227.9,236.1
2007,44,2007-44,219.4,,222.7,228.8,236.7
2007,45,2007-45,221.1,,224.4,230.4,237.5
2007,46,2007-46,226.4,,230.2,237.4,244
2007,47,2007-47,232.4,,234.5,241.9,249.5
2007,48,2007-48,232,,234.2,242.3,249.9
2007,49,2007-49,233.5,,235.6,244.6,253.3
2007,50,2007-50,238.1,,240.2,250.2,259.2
2007,51,2007-51,237.8,,238.8,250.9,260.5
2007,52,2007-52,236.5,,240,250.5,260.5
2008,1,2008-01,238.3,240.3,251,261.5,269
2008,2,2008-02,244,245.4,256,266,275.8
2008,3,2008-03,249.3,251.35,261.15,271.3,281
2008,4,2008-04,248.9,250,260.8,270.7,280.7
2008,5,2008-05,253.6,254.2,264.5,274.8,283.4
2008,6,2008-06,273.3,272.2,277.7,285.8,293.8
2008,7,2008-07,276.9,277.5,279.6,286,291.8
2008,8,2008-08,276.2,277.3,281.9,287.4,292.4
2008,9,2008-09,275,276,281.4,287.2,291.6
2008,10,2008-10,275.5,275.5,281.7,288,292
2008,11,2008-11,274.2,274.2,281,287.2,292
2008,12,2008-12,269.75,269.75,277.5,284.63,290.5
2008,13,2008-13,266.25,266.25,273.5,282.37,288.25
2008,14,2008-14,264.8,,274.4,283.5,289.7
2008,15,2008-15,299,,308,311.4,314.2
2008,16,2008-16,312.6,,323.7,324.2,323.5
2008,17,2008-17,325.8,,338.6,338.6,336.4
2008,18,2008-18,338.25,,353.75,354.75,352.5
2008,19,2008-19,361,,379.6,378.4,373
2008,20,2008-20,362.6,,381.6,380.2,377.8
2008,21,2008-21,375.4,,395.2,395.2,391.4
2008,22,2008-22,372.4,,392.9,393.2,391
2008,23,2008-23,354.75,,375.75,375.75,371.75
2008,24,2008-24,353.8,,376.4,376.6,372.6
2008,25,2008-25,354.4,,379.25,380.25,376.5
2008,26,2008-26,356,,380,383.6,377
2008,27,2008-27,358,,379.4,386.2,377.6
2008,28,2008-28,358,,379,386.8,380.2
2008,29,2008-29,358,,379.6,390,381
2008,30,2008-30,359.2,,380,390.6,381
2008,31,2008-31,361.6,,380,391,381
2008,32,2008-32,364.4,,386.2,396.4,382.4
2008,33,2008-33,374,,393.6,406.6,382.8
2008,34,2008-34,376,,395.6,408,384
2008,35,2008-35,375.8,,395,404.7,383
2008,36,2008-36,374.6,,389.8,397.1,379.2
2008,37,2008-37,363.4,,376.4,381.6,366
2008,38,2008-38,355.8,,371,373.4,347.8
2008,39,2008-39,364.5,,379.2,386.5,351
2008,40,2008-40,371.8,,385.2,392.9,352
2008,41,2008-41,369.2,,381.6,392.2,347.8
2008,42,2008-42,362.5,,374,386,340
2008,43,2008-43,357.2,,367.2,377.6,326.6
2008,44,2008-44,350.8,,361.2,371,317.2
2008,45,2008-45,346.1,,355.4,365.4,312
2008,46,2008-46,329,,335.4,347.2,309.6
2008,47,2008-47,324.6,,331.8,342.4,305.4
2008,48,2008-48,313.2,,317,324.4,301.4
2008,49,2008-49,295.2,,298.8,296.8,296.2
2008,50,2008-50,299.4,,304.6,310.4,305
2008,51,2008-51,295.7,,301.4,310.2,305
2008,52,2008-52,295.5,,299,307.5,300
2009,1,2009-01,295.5,300,308,300,302
2009,2,2009-02,304.75,308.25,315.5,309,306.5
2009,3,2009-03,325,327.8,334.6,325.2,314.5
2009,4,2009-04,341.2,342.8,350.8,334.4,319.8
2009,5,2009-05,336.1,336.8,346.2,334.8,318.4
2009,6,2009-06,325,325,332,329.2,316.7
2009,7,2009-07,320.6,321.8,332.1,331.4,313
2009,8,2009-08,317.2,317.3,329.4,332,313
2009,9,2009-09,312.8,313.2,324,326.6,309.8
2009,10,2009-10,308.7,308.7,320,321.4,304.6
2009,11,2009-11,308.6,308.6,320.7,324.5,305
2009,12,2009-12,307.8,307.8,318.4,322.2,302.2
2009,13,2009-13,311,311,322.4,319.4,297.6
