year_no,week_no,year_week,close_average
2005,1,2005-01,6457.3
2005,2,2005-02,6444.83
2005,3,2005-03,6431.55
2005,4,2005-04,6383.58
2005,5,2005-05,6529.7
2005,6,2005-06,6639.91
2005,7,2005-07,6684.7
2005,8,2005-08,6686.63
2005,9,2005-09,6807.02
2005,10,2005-10,6801.73
2005,11,2005-11,6783.55
2005,12,2005-12,6743.79
2005,13,2005-13,6748.83
2005,14,2005-14,6872.83
2005,15,2005-15,6871.84
2005,16,2005-16,6758.99
2005,17,2005-17,6704.72
2005,18,2005-18,6656.61
2005,19,2005-19,6780.04
2005,20,2005-20,6871.98
2005,21,2005-21,6937.18
2005,22,2005-22,7004.14
2005,23,2005-23,7051.92
2005,24,2005-24,7209.53
2005,25,2005-25,7340.5
2005,26,2005-26,7373.69
2005,27,2005-27,7478.04
2005,28,2005-28,7593.13
2005,29,2005-29,7585.37
2005,30,2005-30,7602.09
2005,31,2005-31,7643.09
2005,32,2005-32,7703.46
2005,33,2005-33,7677.81
2005,34,2005-34,7618.39
2005,35,2005-35,7598.59
2005,36,2005-36,7705.43
2005,37,2005-37,7817.52
2005,38,2005-38,7859.04
2005,39,2005-39,7946.99
2005,40,2005-40,7948.91
2005,41,2005-41,7842.98
2005,42,2005-42,7668.53
2005,43,2005-43,7708.9
2005,44,2005-44,8012.68
2005,45,2005-45,8116.08
2005,46,2005-46,8202.18
2005,47,2005-47,8234.9
2005,48,2005-48,8233.27
2005,49,2005-49,8401.11
2005,50,2005-50,8420.96
2005,51,2005-51,8464.5
2005,52,2005-52,8575.84
2006,1,2006-01,8614.39
2006,2,2006-02,8622.56
2006,3,2006-03,8472.09
2006,4,2006-04,8412.31
2006,5,2006-05,8634.03
2006,6,2006-06,8650.2
2006,7,2006-07,8745.78
2006,8,2006-08,8957.58
2006,9,2006-09,9026.88
2006,10,2006-10,9065.11
2006,11,2006-11,9208.82
2006,12,2006-12,9368.95
2006,13,2006-13,9444.07
2006,14,2006-14,9510.9
2006,15,2006-15,9447.55
2006,16,2006-16,9563.92
2006,17,2006-17,9507.97
2006,18,2006-18,9444.16
2006,19,2006-19,9442.54
2006,20,2006-20,8791.76
2006,21,2006-21,8505.12
2006,22,2006-22,8633.76
2006,23,2006-23,8353.06
2006,24,2006-24,8048.98
2006,25,2006-25,8212.25
2006,26,2006-26,8300.73
2006,27,2006-27,8490.11
2006,28,2006-28,8325.88
2006,29,2006-29,8224.59
2006,30,2006-30,8463.29
2006,31,2006-31,8468.66
2006,32,2006-32,8423.38
2006,33,2006-33,8630.08
2006,34,2006-34,8710.84
2006,35,2006-35,8796.23
2006,36,2006-36,8828.3
2006,37,2006-37,8829.14
2006,38,2006-38,8902.48
2006,39,2006-39,8942.35
2006,40,2006-40,9024.29
2006,41,2006-41,9264.36
2006,42,2006-42,9350.92
2006,43,2006-43,9402.21
2006,44,2006-44,9356.54
2006,45,2006-45,9503.82
2006,46,2006-46,9508.01
2006,47,2006-47,9505.23
