year_no,week_no,year_week,close_average
2007,1,2007-01,10027.93
2007,2,2007-02,9805.16
2007,3,2007-03,10050.17
2007,4,2007-04,10164.98
2007,5,2007-05,10331.45
2007,6,2007-06,10483.62
2007,7,2007-07,10553.25
2007,8,2007-08,10645.77
2007,9,2007-09,10292.24
2007,10,2007-10,10186.65
2007,11,2007-11,10168.25
2007,12,2007-12,10508.96
2007,13,2007-13,10597.93
2007,14,2007-14,10764.84
2007,15,2007-15,10872.31
2007,16,2007-16,10974.47
2007,17,2007-17,10990.12
2007,18,2007-18,11034.27
2007,19,2007-19,10928.83
2007,20,2007-20,11026.3
2007,21,2007-21,11162.02
2007,22,2007-22,11274.41
2007,23,2007-23,11260.71
2007,24,2007-24,11223.12
2007,25,2007-25,11361.83
2007,26,2007-26,11177.51
2007,27,2007-27,11376.88
2007,28,2007-28,11509.02
2007,29,2007-29,11569.81
2007,30,2007-30,11173.41
2007,31,2007-31,11010.77
2007,32,2007-32,10872
2007,33,2007-33,10653.78
2007,34,2007-34,10795.17
2007,35,2007-35,10899.17
2007,36,2007-36,11061.09
2007,37,2007-37,10903.89
2007,38,2007-38,11105.56
2007,39,2007-39,11189.12
2007,40,2007-40,11363.63
2007,41,2007-41,11434.11
2007,42,2007-42,11086.65
2007,43,2007-43,10902.46
2007,44,2007-44,11039.81
2007,45,2007-45,10971.48
2007,46,2007-46,10637.76
2007,47,2007-47,10231.36
2007,48,2007-48,10447.63
2007,49,2007-49,10676.68
2007,50,2007-50,10738.23
2007,51,2007-51,10340.12
2007,52,2007-52,10553.85
2008,1,2008-01,8251.22
2008,2,2008-02,9831.76
2008,3,2008-03,9420.61
2008,4,2008-04,9028.29
2008,5,2008-05,9272.63
2008,6,2008-06,9244.53
2008,7,2008-07,9331.31
2008,8,2008-08,9486.24
2008,9,2008-09,9601.28
2008,10,2008-10,9259.13
2008,11,2008-11,9063.42
2008,12,2008-12,8719.11
2008,13,2008-13,9028.92
2008,14,2008-14,9326.53
2008,15,2008-15,9345.53
2008,16,2008-16,9182.86
2008,17,2008-17,9165.68
2008,18,2008-18,9377.21
2008,19,2008-19,9543.85
2008,20,2008-20,9626.56
2008,21,2008-21,9717.98
2008,22,2008-22,9544.53
2008,23,2008-23,9436.63
2008,24,2008-24,9096.93
2008,25,2008-25,9067.45
2008,26,2008-26,8693.63
2008,27,2008-27,8378.08
2008,28,2008-28,8276.97
2008,29,2008-29,8213.09
2008,30,2008-30,8412.83
2008,31,2008-31,8369.79
2008,32,2008-32,8476.21
2008,33,2008-33,8525.21
2008,34,2008-34,8383.48
2008,35,2008-35,8542.3
2008,36,2008-36,8361.04
2008,37,2008-37,8067.19
2008,38,2008-38,7817.11
2008,39,2008-39,7953.03
2008,40,2008-40,7365.67
2008,41,2008-41,6419.39
2008,42,2008-42,6321.58
2008,43,2008-43,6292.5
2008,44,2008-44,6037.2
2008,45,2008-45,6651.93
2008,46,2008-46,6195.77
2008,47,2008-47,5729.27
2008,48,2008-48,6049.59
2008,49,2008-49,5981.57
2008,50,2008-50,6311.4
2008,51,2008-51,6277.68
2008,52,2008-52,6218.64
2009,1,2009-01,6536.52
2009,2,2009-02,6611.1
2009,3,2009-03,6210.77
2009,4,2009-04,5946.69
2009,5,2009-05,6028.41
2009,6,2009-06,6115.25
2009,7,2009-07,6361.34
2009,8,2009-08,6188.52
2009,9,2009-09,5940.76
2009,10,2009-10,5702.23
2009,11,2009-11,5902.33
2009,12,2009-12,6028.48
