year_no,week_no,year_week,close_average
2005,1,2005-01,538.932
2005,2,2005-02,535.928
2005,3,2005-03,533.218
2005,4,2005-04,527.09
2005,5,2005-05,542.138
2005,6,2005-06,552.382
2005,7,2005-07,555.202
2005,8,2005-08,555.468
2005,9,2005-09,567.238
2005,10,2005-10,567.546
2005,11,2005-11,563.838
2005,12,2005-12,558.218
2005,13,2005-13,557.092
2005,14,2005-14,565.75
2005,15,2005-15,566.232
2005,16,2005-16,558.462
2005,17,2005-17,558.772
2005,18,2005-18,556.134
2005,19,2005-19,566.226
2005,20,2005-20,574.184
2005,21,2005-21,579.266
2005,22,2005-22,587.182
2005,23,2005-23,589.644
2005,24,2005-24,596.648
2005,25,2005-25,606.14
2005,26,2005-26,600.314
2005,27,2005-27,608.294
2005,28,2005-28,619.728
2005,29,2005-29,615.738
2005,30,2005-30,613.498
2005,31,2005-31,620.94
2005,32,2005-32,629.548
2005,33,2005-33,627.282
2005,34,2005-34,620.312
2005,35,2005-35,620.184
2005,36,2005-36,630.358
2005,37,2005-37,641.338
2005,38,2005-38,641.952
2005,39,2005-39,648.238
2005,40,2005-40,652.402
2005,41,2005-41,640.292
2005,42,2005-42,620.336
2005,43,2005-43,618.064
2005,44,2005-44,637.712
2005,45,2005-45,646.642
2005,46,2005-46,651.022
2005,47,2005-47,658.832
2005,48,2005-48,660.24
2005,49,2005-49,679.074
2005,50,2005-50,679.2
2005,51,2005-51,684.218
2005,52,2005-52,692.653
2006,1,2006-01,702.558
2006,2,2006-02,705.67
2006,3,2006-03,692.084
2006,4,2006-04,689.8
2006,5,2006-05,706.19
2006,6,2006-06,705.504
2006,7,2006-07,708.372
2006,8,2006-08,720.956
2006,9,2006-09,721.128
2006,10,2006-10,728.05
2006,11,2006-11,745.86
2006,12,2006-12,756.784
2006,13,2006-13,758.736
2006,14,2006-14,766.107
2006,15,2006-15,765.02
2006,16,2006-16,777.27
2006,17,2006-17,773.318
2006,18,2006-18,768.668
