year_no,week_no,year_week,close_average
2007,1,2007-01,815.153
2007,2,2007-02,801.916
2007,3,2007-03,823.416
2007,4,2007-04,832.814
2007,5,2007-05,850.102
2007,6,2007-06,855.654
2007,7,2007-07,854.718
2007,8,2007-08,852.324
2007,9,2007-09,824.022
2007,10,2007-10,814.02
2007,11,2007-11,812.452
2007,12,2007-12,837.702
2007,13,2007-13,840.28
2007,14,2007-14,853.318
2007,15,2007-15,867.458
2007,16,2007-16,884.742
2007,17,2007-17,891.166
2007,18,2007-18,895.962
2007,19,2007-19,880.954
2007,20,2007-20,893.283
2007,21,2007-21,905.26
2007,22,2007-22,907.586
2007,23,2007-23,903.506
2007,24,2007-24,895.742
2007,25,2007-25,911.136
2007,26,2007-26,900.548
2007,27,2007-27,924.268
2007,28,2007-28,936.652
2007,29,2007-29,943.45
2007,30,2007-30,906.098
2007,31,2007-31,894.354
2007,32,2007-32,885.93
2007,33,2007-33,863.456
2007,34,2007-34,874.816
2007,35,2007-35,885.658
2007,36,2007-36,902.428
2007,37,2007-37,897.508
2007,38,2007-38,921.684
2007,39,2007-39,934.59
2007,40,2007-40,949.068
2007,41,2007-41,960.166
2007,42,2007-42,932.006
2007,43,2007-43,918.386
2007,44,2007-44,929.476
2007,45,2007-45,919.992
2007,46,2007-46,887.672
2007,47,2007-47,852.824
2007,48,2007-48,869.386
2007,49,2007-49,884.132
2007,50,2007-50,886.498
2007,51,2007-51,850.054
2007,52,2007-52,867.495
2008,1,2008-01,671.18
2008,2,2008-02,807.492
2008,3,2008-03,773.884
2008,4,2008-04,734.414
2008,5,2008-05,759.162
2008,6,2008-06,758.468
2008,7,2008-07,771.456
2008,8,2008-08,785.864
2008,9,2008-09,794.242
2008,10,2008-10,754.52
2008,11,2008-11,729.56
2008,12,2008-12,700.84
2008,13,2008-13,725.225
2008,14,2008-14,756.102
2008,15,2008-15,758.71
2008,16,2008-16,739.838
2008,17,2008-17,739.422
2008,18,2008-18,760.398
2008,19,2008-19,773.26
2008,20,2008-20,776.916
2008,21,2008-21,786.238
2008,22,2008-22,768.922
2008,23,2008-23,756.604
2008,24,2008-24,727.312
2008,25,2008-25,722.182
2008,26,2008-26,692.898
2008,27,2008-27,667.07
2008,28,2008-28,660.844
2008,29,2008-29,652.248
2008,30,2008-30,669.77
2008,31,2008-31,670.322
2008,32,2008-32,677.09
2008,33,2008-33,678.638
2008,34,2008-34,669.69
2008,35,2008-35,680.718
2008,36,2008-36,650.54
2008,37,2008-37,622.216
2008,38,2008-38,596.734
2008,39,2008-39,605.246
2008,40,2008-40,554.35
2008,41,2008-41,486.376
2008,42,2008-42,470.736
2008,43,2008-43,465.104
2008,44,2008-44,446.084
2008,45,2008-45,488.332
2008,46,2008-46,446.614
2008,47,2008-47,406.032
2008,48,2008-48,426.67
2008,49,2008-49,413.402
2008,50,2008-50,434.67
2008,51,2008-51,417.582
2008,52,2008-52,408.91
2009,1,2009-01,435.25
2009,2,2009-02,447.442
2009,3,2009-03,412.868
2009,4,2009-04,397.768
2009,5,2009-05,408.492
2009,6,2009-06,411.748
2009,7,2009-07,425.266
2009,8,2009-08,397.604
2009,9,2009-09,370.018
2009,10,2009-10,348.316
2009,11,2009-11,370.87
2009,12,2009-12,390.606
2009,13,2009-13,395.354
2009,14,2009-14,400.902
2009,15,2009-15,414.755
2009,16,2009-16,437.713
2009,17,2009-17,448.212
2009,18,2009-18,458.894
2009,19,2009-19,486.078
2009,20,2009-20,470.814
2009,21,2009-21,488.588
2009,22,2009-22,478.048
2009,23,2009-23,481.538
2009,24,2009-24,483.518
2009,25,2009-25,472.386
2009,26,2009-26,457.724
2009,27,2009-27,474.968
2009,28,2009-28,456.468
2009,29,2009-29,470.767
2009,30,2009-30,492.232
2009,31,2009-31,501.302
2009,32,2009-32,518.502
2009,33,2009-33,517.276
2009,34,2009-34,517.442
2009,35,2009-35,539.06
2009,36,2009-36,525.518
2009,37,2009-37,544.774
2009,38,2009-38,551.072
2009,39,2009-39,547.708
2009,40,2009-40,535.222
2009,41,2009-41,534.056
2009,42,2009-42,543.266
2009,43,2009-43,546.198
2009,44,2009-44,536.816
2009,45,2009-45,534.696
2009,46,2009-46,555.13
2009,47,2009-47,555.936
2009,48,2009-48,547.872
2009,49,2009-49,544.582
2009,50,2009-50,542.056
2009,51,2009-51,544.068
2009,52,2009-52,547.847
2009,53,2009-53,553.52
2010,1,2010-01,568.67
2010,2,2010-02,572.288
2010,3,2010-03,566.508
2010,4,2010-04,555.908
2010,5,2010-05,569.476
2010,6,2010-06,557.488
2010,7,2010-07,568.598
2010,8,2010-08,573.87
2010,9,2010-09,592.536
2010,10,2010-10,610.602
2010,11,2010-11,620.516
2010,12,2010-12,628.394
2010,13,2010-13,627.4
2010,14,2010-14,640.813
2010,15,2010-15,642.216
2010,16,2010-16,644.33
2010,17,2010-17,641.986
2010,18,2010-18,612.988
2010,19,2010-19,614.508
2010,20,2010-20,594.266
2010,21,2010-21,581.958
2010,22,2010-22,603.024
2010,23,2010-23,602.086
2010,24,2010-24,625.97
2010,25,2010-25,621.672
2010,26,2010-26,593.74
2010,27,2010-27,600.998
2010,28,2010-28,624.562
2010,29,2010-29,620.716
2010,30,2010-30,629.702
2010,31,2010-31,645.58
2010,32,2010-32,629.904
2010,33,2010-33,625.858
2010,34,2010-34,607.476
2010,35,2010-35,624.594
2010,36,2010-36,646.176
2010,37,2010-37,659.212
2010,38,2010-38,661.524
2010,39,2010-39,656.346
2010,40,2010-40,653.442
2010,41,2010-41,664.09
2010,42,2010-42,664.53
2010,43,2010-43,666.076
2010,44,2010-44,663.512
2010,45,2010-45,667.158
2010,46,2010-46,659.484
2010,47,2010-47,661.166
2010,48,2010-48,678.056
2010,49,2010-49,692.72
2010,50,2010-50,702.894
2010,51,2010-51,717.73
2010,52,2010-52,719.158
2011,1,2011-01,726.938
2011,2,2011-02,730.7
2011,3,2011-03,721.466
2011,4,2011-04,722.166
2011,5,2011-05,722.278
2011,6,2011-06,722.722
2011,7,2011-07,717.94
2011,8,2011-08,706.258
2011,9,2011-09,712.18
2011,10,2011-10,707.004
2011,11,2011-11,676.63
2011,12,2011-12,696.582
2011,13,2011-13,706.994
2011,14,2011-14,715.854
2011,15,2011-15,704.234
2011,16,2011-16,700.943
2011,17,2011-17,716.893
2011,18,2011-18,708.864
2011,19,2011-19,712.582
2011,20,2011-20,712.134
2011,21,2011-21,702.274
2011,22,2011-22,701.12
2011,23,2011-23,672.816
2011,24,2011-24,653.352
2011,25,2011-25,636.852
2011,26,2011-26,649.826
2011,27,2011-27,671.03
2011,28,2011-28,648.816
