year_no,week_no,year_week,price
2003,22,2003-22,103.07
2003,23,2003-23,103.07
2003,24,2003-24,103.07
2003,25,2003-25,103.07
2003,26,2003-26,103.07
2003,27,2003-27,201.81
2003,28,2003-28,201.81
2003,29,2003-29,201.81
2003,30,2003-30,201.81
2003,31,2003-31,213.52
2003,32,2003-32,213.52
2003,33,2003-33,213.52
2003,34,2003-34,213.52
2003,35,2003-35,213.52
2003,36,2003-36,216.33
2003,37,2003-37,216.33
2003,38,2003-38,216.33
2003,39,2003-39,216.33
2003,40,2003-40,200.8
2003,41,2003-41,200.8
2003,42,2003-42,200.8
2003,43,2003-43,200.8
2003,44,2003-44,193.41
2003,45,2003-45,193.41
2003,46,2003-46,193.41
2003,47,2003-47,193.41
2003,48,2003-48,193.41
2003,49,2003-49,200.66
2003,50,2003-50,200.66
2003,51,2003-51,200.66
2003,52,2003-52,200.66
2004,1,2004-01,207.73
2004,2,2004-02,207.73
2004,3,2004-03,207.73
2004,4,2004-04,207.73
2004,5,2004-05,227.92
2004,6,2004-06,227.92
2004,7,2004-07,227.92
2004,8,2004-08,227.92
2004,9,2004-09,227.92
2004,10,2004-10,228.5
2004,11,2004-11,228.5
2004,12,2004-12,228.5
2004,13,2004-13,228.5
2004,14,2004-14,227.79
2004,15,2004-15,227.79
2004,16,2004-16,227.79
2004,17,2004-17,227.79
2004,18,2004-18,233.27
2004,19,2004-19,233.27
2004,20,2004-20,233.27
2004,21,2004-21,233.27
2004,22,2004-22,233.27
2004,23,2004-23,233.1
2004,24,2004-24,233.1
2004,25,2004-25,233.1
2004,26,2004-26,233.1
2004,27,2004-27,240.6
2004,28,2004-28,240.6
2004,29,2004-29,240.6
2004,30,2004-30,240.6
2004,31,2004-31,228.9
2004,32,2004-32,228.9
2004,33,2004-33,228.9
2004,34,2004-34,228.9
2004,35,2004-35,228.9
2004,36,2004-36,232.26
2004,37,2004-37,232.26
2004,38,2004-38,232.26
2004,39,2004-39,232.26
2004,40,2004-40,232.05
2004,41,2004-41,232.05
2004,42,2004-42,232.05
2004,43,2004-43,232.05
2004,44,2004-44,232.05
2004,45,2004-45,231.05
2004,46,2004-46,231.05
2004,47,2004-47,231.05
2004,48,2004-48,231.05
2004,49,2004-49,244.44
2004,50,2004-50,244.44
2004,51,2004-51,244.44
2004,52,2004-52,244.44
2004,53,2004-53,237.11
2005,1,2005-01,237.11
2005,2,2005-02,237.11
2005,3,2005-03,237.11
2005,4,2005-04,237.11
2005,5,2005-05,222.12
2005,6,2005-06,222.12
2005,7,2005-07,222.12
2005,8,2005-08,222.12
2005,9,2005-09,227.85
2005,10,2005-10,227.85
2005,11,2005-11,227.85
2005,12,2005-12,227.85
2005,13,2005-13,207.06
2005,14,2005-14,207.06
2005,15,2005-15,207.06
2005,16,2005-16,207.06
2005,17,2005-17,207.61
2005,18,2005-18,207.61
2005,19,2005-19,207.61
2005,20,2005-20,207.61
2005,21,2005-21,207.61
2005,22,2005-22,204.64
2005,23,2005-23,204.64
2005,24,2005-24,204.64
2005,25,2005-25,204.64
2005,26,2005-26,203.5
2005,27,2005-27,203.5
2005,28,2005-28,203.5
2005,29,2005-29,203.5
2005,30,2005-30,203.5
2005,31,2005-31,203.75
2005,32,2005-32,203.75
2005,33,2005-33,203.75
2005,34,2005-34,203.75
2005,35,2005-35,193.55
2005,36,2005-36,193.55
2005,37,2005-37,193.55
2005,38,2005-38,193.55
2005,39,2005-39,193.7
2005,40,2005-40,193.7
2005,41,2005-41,193.7
2005,42,2005-42,193.7
2005,43,2005-43,193.7
2005,44,2005-44,195.71
2005,45,2005-45,195.71
2005,46,2005-46,195.71
2005,47,2005-47,195.71
2005,48,2005-48,208.23
2005,49,2005-49,208.23
2005,50,2005-50,208.23
2005,51,2005-51,208.23
2005,52,2005-52,203.82
2006,1,2006-01,203.82
2006,2,2006-02,203.82
2006,3,2006-03,203.82
2006,4,2006-04,203.82
2006,5,2006-05,192.75
2006,6,2006-06,192.75
2006,7,2006-07,192.75
2006,8,2006-08,192.75
2006,9,2006-09,204.68
2006,10,2006-10,204.68
2006,11,2006-11,204.68
2006,12,2006-12,204.68
2006,13,2006-13,185.44
2006,14,2006-14,185.44
2006,15,2006-15,185.44
2006,16,2006-16,185.44
2006,17,2006-17,185.44
2006,18,2006-18,175.38
2006,19,2006-19,175.38
2006,20,2006-20,175.38
2006,21,2006-21,175.38
2006,22,2006-22,164.27
2006,23,2006-23,164.27
2006,24,2006-24,164.27
2006,25,2006-25,164.27
2006,26,2006-26,163.13
2006,27,2006-27,163.13
2006,28,2006-28,163.13
2006,29,2006-29,163.13
2006,30,2006-30,163.13
2006,31,2006-31,154.31
2006,32,2006-32,154.31
2006,33,2006-33,154.31
2006,34,2006-34,154.31
2006,35,2006-35,151.51
2006,36,2006-36,151.51
2006,37,2006-37,151.51
2006,38,2006-38,151.51
2006,39,2006-39,171.06
2006,40,2006-40,171.06
2006,41,2006-41,171.06
2006,42,2006-42,171.06
2006,43,2006-43,171.06
2006,44,2006-44,172.45
2006,45,2006-45,172.45
2006,46,2006-46,172.45
2006,47,2006-47,172.45
2006,48,2006-48,193.24
2006,49,2006-49,193.24
2006,50,2006-50,193.24
2006,51,2006-51,193.24
2006,52,2006-52,193.24
2007,1,2007-01,193.83
2007,2,2007-02,193.83
2007,3,2007-03,193.83
2007,4,2007-04,193.83
2007,5,2007-05,194.55
2007,6,2007-06,194.55
2007,7,2007-07,194.55
2007,8,2007-08,194.55
2007,9,2007-09,190.18
2007,10,2007-10,190.18
2007,11,2007-11,190.18
2007,12,2007-12,190.18
2007,13,2007-13,194.86
2007,14,2007-14,194.86
2007,15,2007-15,194.86
2007,16,2007-16,194.86
2007,17,2007-17,194.86
2007,18,2007-18,186.78
2007,19,2007-19,186.78
2007,20,2007-20,186.78
2007,21,2007-21,186.78
2007,22,2007-22,191.68
2007,23,2007-23,191.68
2007,24,2007-24,191.68
2007,25,2007-25,191.68
2007,26,2007-26,198.18
2007,27,2007-27,198.18
2007,28,2007-28,198.18
2007,29,2007-29,198.18
2007,30,2007-30,198.18
2007,31,2007-31,198.21
2007,32,2007-32,198.21
2007,33,2007-33,198.21
2007,34,2007-34,198.21
2007,35,2007-35,202.23
2007,36,2007-36,202.23
2007,37,2007-37,202.23
2007,38,2007-38,202.23
2007,39,2007-39,202.23
2007,40,2007-40,205.76
2007,41,2007-41,205.76
2007,42,2007-42,205.76
2007,43,2007-43,205.76
2007,44,2007-44,218.37
2007,45,2007-45,218.37
2007,46,2007-46,218.37
2007,47,2007-47,218.37
2007,48,2007-48,205.79
2007,49,2007-49,205.79
2007,50,2007-50,205.79
2007,51,2007-51,205.79
2007,52,2007-52,205.79
2008,1,2008-01,234.11
2008,2,2008-02,234.11
2008,3,2008-03,234.11
2008,4,2008-04,234.11
2008,5,2008-05,232.93
2008,6,2008-06,232.93
2008,7,2008-07,232.93
2008,8,2008-08,232.93
2008,9,2008-09,214.04
2008,10,2008-10,214.04
2008,11,2008-11,214.04
2008,12,2008-12,214.04
2008,13,2008-13,214.04
2008,14,2008-14,255.49
2008,15,2008-15,255.49
2008,16,2008-16,255.49
2008,17,2008-17,255.49
2008,18,2008-18,318.92
2008,19,2008-19,318.92
2008,20,2008-20,318.92
2008,21,2008-21,318.92
2008,22,2008-22,288.54
2008,23,2008-23,288.54
2008,24,2008-24,288.54
2008,25,2008-25,288.54
2008,26,2008-26,288.54
2008,27,2008-27,283.95
2008,28,2008-28,283.95
2008,29,2008-29,283.95
2008,30,2008-30,283.95
2008,31,2008-31,333.86
2008,32,2008-32,333.86
2008,33,2008-33,333.86
2008,34,2008-34,333.86
2008,35,2008-35,333.86
2008,36,2008-36,323.04
2008,37,2008-37,323.04
2008,38,2008-38,323.04
2008,39,2008-39,323.04
2008,40,2008-40,322.14
2008,41,2008-41,322.14
2008,42,2008-42,322.14
2008,43,2008-43,322.14
2008,44,2008-44,319.47
2008,45,2008-45,319.47
2008,46,2008-46,319.47
2008,47,2008-47,319.47
2008,48,2008-48,319.47
2008,49,2008-49,259.99
2008,50,2008-50,259.99
2008,51,2008-51,259.99
2008,52,2008-52,259.99
2009,1,2009-01,303.33
2009,2,2009-02,303.33
2009,3,2009-03,303.33
2009,4,2009-04,303.33
2009,5,2009-05,287.41
2009,6,2009-06,287.41
2009,7,2009-07,287.41
2009,8,2009-08,287.41
2009,9,2009-09,283.2
2009,10,2009-10,283.2
2009,11,2009-11,283.2
2009,12,2009-12,283.2
2009,13,2009-13,283.2
2009,14,2009-14,303.55
2009,15,2009-15,303.55
2009,16,2009-16,303.55
2009,17,2009-17,303.55
2009,18,2009-18,303.72
2009,19,2009-19,303.72
2009,20,2009-20,303.72
2009,21,2009-21,303.72
2009,22,2009-22,303.72
2009,23,2009-23,298.16
2009,24,2009-24,298.16
2009,25,2009-25,298.16
2009,26,2009-26,298.16
2009,27,2009-27,286.53
2009,28,2009-28,286.53
2009,29,2009-29,286.53
2009,30,2009-30,286.53
2009,31,2009-31,298.07
2009,32,2009-32,298.07
2009,33,2009-33,298.07
2009,34,2009-34,298.07
2009,35,2009-35,298.07
2009,36,2009-36,313.91
2009,37,2009-37,313.91
2009,38,2009-38,313.91
2009,39,2009-39,313.91
2009,40,2009-40,322.72
2009,41,2009-41,322.72
2009,42,2009-42,322.72
2009,43,2009-43,322.72
2009,44,2009-44,326.37
2009,45,2009-45,326.37
2009,46,2009-46,326.37
2009,47,2009-47,326.37
2009,48,2009-48,326.37
2009,49,2009-49,295.97
2009,50,2009-50,295.97
2009,51,2009-51,295.97
2009,52,2009-52,295.97
2009,53,2009-53,304.83
2010,1,2010-01,304.83
2010,2,2010-02,304.83
2010,3,2010-03,304.83
2010,4,2010-04,304.83
2010,5,2010-05,300.84
2010,6,2010-06,300.84
2010,7,2010-07,300.84
2010,8,2010-08,300.84
2010,9,2010-09,320.8
2010,10,2010-10,320.8
2010,11,2010-11,320.8
2010,12,2010-12,320.8
2010,13,2010-13,286.11
2010,14,2010-14,286.11
2010,15,2010-15,286.11
2010,16,2010-16,286.11
2010,17,2010-17,283.92
2010,18,2010-18,283.92
2010,19,2010-19,283.92
2010,20,2010-20,283.92
2010,21,2010-21,283.92
2010,22,2010-22,262.15
2010,23,2010-23,262.15
2010,24,2010-24,262.15
2010,25,2010-25,262.15
2010,26,2010-26,230.37
2010,27,2010-27,230.37
2010,28,2010-28,230.37
2010,29,2010-29,230.37
2010,30,2010-30,240.45
2010,31,2010-31,240.45
2010,32,2010-32,240.45
2010,33,2010-33,240.45
2010,34,2010-34,240.45
2010,35,2010-35,241.66
2010,36,2010-36,241.66
2010,37,2010-37,241.66
2010,38,2010-38,241.66
2010,39,2010-39,243.25
2010,40,2010-40,243.25
2010,41,2010-41,243.25
2010,42,2010-42,243.25
2010,43,2010-43,243.25
2010,44,2010-44,245.74
2010,45,2010-45,245.74
2010,46,2010-46,245.74
2010,47,2010-47,245.74
2010,48,2010-48,247.09
2010,49,2010-49,247.09
2010,50,2010-50,247.09
2010,51,2010-51,247.09
2010,52,2010-52,249.75
2011,1,2011-01,249.75
2011,2,2011-02,249.75
2011,3,2011-03,249.75
2011,4,2011-04,249.75
2011,5,2011-05,238.3
2011,6,2011-06,238.3
2011,7,2011-07,238.3
2011,8,2011-08,238.3
2011,9,2011-09,278.08
2011,10,2011-10,278.08
2011,11,2011-11,278.08
2011,12,2011-12,278.08
2011,13,2011-13,230.54
2011,14,2011-14,230.54
2011,15,2011-15,230.54
2011,16,2011-16,230.54
2011,17,2011-17,205.25
2011,18,2011-18,205.25
2011,19,2011-19,205.25
2011,20,2011-20,205.25
2011,21,2011-21,205.25
2011,22,2011-22,195.51
2011,23,2011-23,195.51
2011,24,2011-24,195.51
2011,25,2011-25,195.51
2011,26,2011-26,196.7
2011,27,2011-27,196.7
2011,28,2011-28,196.7
2011,29,2011-29,196.7
2011,30,2011-30,196.7
2011,31,2011-31,189.86
2011,32,2011-32,189.86
2011,33,2011-33,189.86
2011,34,2011-34,189.86
2011,35,2011-35,196.4
2011,36,2011-36,196.4
2011,37,2011-37,196.4
2011,38,2011-38,196.4
2011,39,2011-39,192.87
2011,40,2011-40,192.87
2011,41,2011-41,192.87
2011,42,2011-42,192.87
2011,43,2011-43,192.87
2011,44,2011-44,188.47
2011,45,2011-45,188.47
2011,46,2011-46,188.47
2011,47,2011-47,188.47
2011,48,2011-48,182.71
2011,49,2011-49,182.71
2011,50,2011-50,182.71
2011,51,2011-51,182.71
2011,52,2011-52,175.94
2012,1,2012-01,175.94
2012,2,2012-02,175.94
2012,3,2012-03,175.94
2012,4,2012-04,175.94
2012,5,2012-05,160.03
2012,6,2012-06,160.03
2012,7,2012-07,160.03
2012,8,2012-08,160.03
2012,9,2012-09,217.07
2012,10,2012-10,217.07
2012,11,2012-11,217.07
2012,12,2012-12,217.07
2012,13,2012-13,163.47
2012,14,2012-14,163.47
2012,15,2012-15,163.47
2012,16,2012-16,163.47
2012,17,2012-17,163.47
2012,18,2012-18,159.04
2012,19,2012-19,159.04
2012,20,2012-20,159.04
2012,21,2012-21,159.04
2012,22,2012-22,160.04
2012,23,2012-23,160.04
2012,24,2012-24,160.04
2012,25,2012-25,160.04
2012,26,2012-26,172.58
2012,27,2012-27,172.58
2012,28,2012-28,172.58
2012,29,2012-29,172.58
2012,30,2012-30,172.58
2012,31,2012-31,176.1
2012,32,2012-32,176.1
2012,33,2012-33,176.1
2012,34,2012-34,176.1
2012,35,2012-35,182.89
2012,36,2012-36,182.89
2012,37,2012-37,182.89
2012,38,2012-38,182.89
2012,39,2012-39,182.89
2012,40,2012-40,194.46
2012,41,2012-41,194.46
2012,42,2012-42,194.46
2012,43,2012-43,194.46
2012,44,2012-44,199.61
2012,45,2012-45,199.61
2012,46,2012-46,199.61
2012,47,2012-47,199.61
2012,48,2012-48,209.83
2012,49,2012-49,209.83
2012,50,2012-50,209.83
2012,51,2012-51,209.83
2012,52,2012-52,209.83
2013,1,2013-01,210.4
2013,2,2013-02,210.4
2013,3,2013-03,210.4
2013,4,2013-04,210.4
2013,5,2013-05,223.19
2013,6,2013-06,223.19
2013,7,2013-07,223.19
2013,8,2013-08,223.19
2013,9,2013-09,205.79
2013,10,2013-10,205.79
2013,11,2013-11,205.79
2013,12,2013-12,205.79
2013,13,2013-13,205.79
2013,14,2013-14,219.05
2013,15,2013-15,219.05
2013,16,2013-16,219.05
2013,17,2013-17,219.05
2013,18,2013-18,192.06
2013,19,2013-19,192.06
2013,20,2013-20,192.06
2013,21,2013-21,192.06
2013,22,2013-22,178.62
2013,23,2013-23,178.62
2013,24,2013-24,178.62
2013,25,2013-25,178.62
2013,26,2013-26,178.62
2013,27,2013-27,188.03
2013,28,2013-28,188.03
2013,29,2013-29,188.03
2013,30,2013-30,188.03
2013,31,2013-31,186.88
2013,32,2013-32,186.88
2013,33,2013-33,186.88
2013,34,2013-34,186.88
2013,35,2013-35,199.25
2013,36,2013-36,199.25
2013,37,2013-37,199.25
2013,38,2013-38,199.25
2013,39,2013-39,199.25
2013,40,2013-40,200.6
2013,41,2013-41,200.6
2013,42,2013-42,200.6
2013,43,2013-43,200.6
2013,44,2013-44,191.94
2013,45,2013-45,191.94
2013,46,2013-46,191.94
2013,47,2013-47,191.94
2013,48,2013-48,187.75
2013,49,2013-49,187.75
2013,50,2013-50,187.75
2013,51,2013-51,187.75
2013,52,2013-52,187.75
2014,1,2014-01,178.36
2014,2,2014-02,178.36
2014,3,2014-03,178.36
2014,4,2014-04,178.36
2014,5,2014-05,191.6
2014,6,2014-06,191.6
2014,7,2014-07,191.6
2014,8,2014-08,191.6
2014,9,2014-09,206.72
2014,10,2014-10,206.72
2014,11,2014-11,206.72
2014,12,2014-12,206.72
2014,13,2014-13,206.72
2014,14,2014-14,179.5
2014,15,2014-15,179.5
2014,16,2014-16,179.5
2014,17,2014-17,179.5
2014,18,2014-18,179.54
2014,19,2014-19,179.54
2014,20,2014-20,179.54
2014,21,2014-21,179.54
2014,22,2014-22,181.43
2014,23,2014-23,181.43
2014,24,2014-24,181.43
2014,25,2014-25,181.43
2014,26,2014-26,181.43
2014,27,2014-27,178.43
2014,28,2014-28,178.43
2014,29,2014-29,178.43
2014,30,2014-30,178.43
2014,31,2014-31,183.13
2014,32,2014-32,183.13
2014,33,2014-33,183.13
2014,34,2014-34,183.13
2014,35,2014-35,183.13
2014,36,2014-36,185.26
2014,37,2014-37,185.26
2014,38,2014-38,185.26
2014,39,2014-39,185.26
2014,40,2014-40,182.03
2014,41,2014-41,182.03
2014,42,2014-42,182.03
2014,43,2014-43,182.03
2014,44,2014-44,182.86
2014,45,2014-45,182.86
2014,46,2014-46,182.86
2014,47,2014-47,182.86
2014,48,2014-48,182.86
2014,49,2014-49,179.54
2014,50,2014-50,179.54
2014,51,2014-51,179.54
2014,52,2014-52,179.54
2015,1,2015-01,171.81
2015,2,2015-02,171.81
2015,3,2015-03,171.81
2015,4,2015-04,171.81
2015,5,2015-05,164.47
2015,6,2015-06,164.47
2015,7,2015-07,164.47
2015,8,2015-08,164.47
2015,9,2015-09,187.35
2015,10,2015-10,187.35
2015,11,2015-11,187.35
2015,12,2015-12,187.35
2015,13,2015-13,187.35
2015,14,2015-14,153.28
2015,15,2015-15,153.28
2015,16,2015-16,153.28
2015,17,2015-17,153.28
2015,18,2015-18,152.7
2015,19,2015-19,152.7
2015,20,2015-20,152.7
2015,21,2015-21,152.7
2015,22,2015-22,152.7
2015,23,2015-23,154.66
2015,24,2015-24,154.66
2015,25,2015-25,154.66
2015,26,2015-26,154.66
2015,27,2015-27,152.92
2015,28,2015-28,152.92
2015,29,2015-29,152.92
2015,30,2015-30,152.92
2015,31,2015-31,151.52
2015,32,2015-32,151.52
2015,33,2015-33,151.52
2015,34,2015-34,151.52
2015,35,2015-35,151.52
2015,36,2015-36,159.77
2015,37,2015-37,159.77
