year_no,week_no,year_week,swe,nor
2003,1,2003-01,7.4,
2003,2,2003-02,7.4,
2003,3,2003-03,7.4,
2003,4,2003-04,7.4,
2003,5,2003-05,7.4,
2003,6,2003-06,7.4,
2003,7,2003-07,7.4,
2003,8,2003-08,7.4,
2003,9,2003-09,7.4,
2003,10,2003-10,7.4,
2003,11,2003-11,7.4,
2003,12,2003-12,7.4,
2003,13,2003-13,7.4,
2003,14,2003-14,7.4,
2003,15,2003-15,7.4,
2003,16,2003-16,7.4,
2003,17,2003-17,7.4,
2003,18,2003-18,7.4,
2003,19,2003-19,7.4,
2003,20,2003-20,7.4,
2003,21,2003-21,7.4,
2003,22,2003-22,7.4,
2003,23,2003-23,7.4,
2003,24,2003-24,7.4,
2003,25,2003-25,7.4,
2003,26,2003-26,7.4,
2003,27,2003-27,7.4,
2003,28,2003-28,7.4,
2003,29,2003-29,7.4,
2003,30,2003-30,7.4,
2003,31,2003-31,7.4,
2003,32,2003-32,7.4,
2003,33,2003-33,7.4,
2003,34,2003-34,7.4,
2003,35,2003-35,7.4,
2003,36,2003-36,7.4,
2003,37,2003-37,7.4,
2003,38,2003-38,7.4,
2003,39,2003-39,7.4,
2003,40,2003-40,7.4,
2003,41,2003-41,7.4,
2003,42,2003-42,7.4,
2003,43,2003-43,7.4,
2003,44,2003-44,7.4,
2003,45,2003-45,7.4,
2003,46,2003-46,7.4,
2003,47,2003-47,7.4,
2003,48,2003-48,7.4,
2003,49,2003-49,7.4,
2003,50,2003-50,7.4,
2003,51,2003-51,7.4,
2003,52,2003-52,7.4,
2004,1,2004-01,8.1,
2004,2,2004-02,8.1,
2004,3,2004-03,8.1,
2004,4,2004-04,8.1,
2004,5,2004-05,8.1,
2004,6,2004-06,8.1,
2004,7,2004-07,8.1,
2004,8,2004-08,8.1,
2004,9,2004-09,8.1,
2004,10,2004-10,8.1,
2004,11,2004-11,8.1,
2004,12,2004-12,8.1,
2004,13,2004-13,8.1,
2004,14,2004-14,8.1,
2004,15,2004-15,8.1,
2004,16,2004-16,8.1,
2004,17,2004-17,8.1,
2004,18,2004-18,8.1,
2004,19,2004-19,8.1,
2004,20,2004-20,8.1,
2004,21,2004-21,8.1,
2004,22,2004-22,8.1,
2004,23,2004-23,8.1,
2004,24,2004-24,8.1,
2004,25,2004-25,8.1,
2004,26,2004-26,8.1,
2004,27,2004-27,8.1,
2004,28,2004-28,8.1,
2004,29,2004-29,8.1,
2004,30,2004-30,8.1,
2004,31,2004-31,8.1,
2004,32,2004-32,8.1,
2004,33,2004-33,8.1,
2004,34,2004-34,8.1,
2004,35,2004-35,8.1,
2004,36,2004-36,8.1,
2004,37,2004-37,8.1,
2004,38,2004-38,8.1,
2004,39,2004-39,8.1,
2004,40,2004-40,8.1,
2004,41,2004-41,8.1,
2004,42,2004-42,8.1,
2004,43,2004-43,8.1,
2004,44,2004-44,8.1,
2004,45,2004-45,8.1,
2004,46,2004-46,8.1,
2004,47,2004-47,8.1,
2004,48,2004-48,8.1,
2004,49,2004-49,8.1,
2004,50,2004-50,8.1,
2004,51,2004-51,8.1,
2004,52,2004-52,8.1,
2004,53,2004-53,8.1,
2005,1,2005-01,10.4,
2005,2,2005-02,10.4,
2005,3,2005-03,10.4,
2005,4,2005-04,10.4,
2005,5,2005-05,10.4,
2005,6,2005-06,10.4,
2005,7,2005-07,10.4,
2005,8,2005-08,10.4,
2005,9,2005-09,10.4,
2005,10,2005-10,10.4,
2005,11,2005-11,10.4,
2005,12,2005-12,10.4,
2005,13,2005-13,10.4,
2005,14,2005-14,10.4,
2005,15,2005-15,10.4,
2005,16,2005-16,10.4,
2005,17,2005-17,10.4,
2005,18,2005-18,10.4,
2005,19,2005-19,10.4,
2005,20,2005-20,10.4,
2005,21,2005-21,10.4,
2005,22,2005-22,10.4,
2005,23,2005-23,10.4,
2005,24,2005-24,10.4,
2005,25,2005-25,10.4,
2005,26,2005-26,10.4,
2005,27,2005-27,10.4,
2005,28,2005-28,10.4,
2005,29,2005-29,10.4,
2005,30,2005-30,10.4,
2005,31,2005-31,10.4,
2005,32,2005-32,10.4,
2005,33,2005-33,10.4,
2005,34,2005-34,10.4,
2005,35,2005-35,10.4,
2005,36,2005-36,10.4,
2005,37,2005-37,10.4,
2005,38,2005-38,10.4,
