year_no,week_no,year_week,1EUR,100SEK
2003,1,2003-01,7.267,79.498
2003,2,2003-02,7.236,79.556
2003,3,2003-03,7.292,79.484
2003,4,2003-04,7.383,80.008
2003,5,2003-05,7.453,80.842
2003,6,2003-06,7.503,81.398
2003,7,2003-07,7.484,81.968
2003,8,2003-08,7.529,82.62
2003,9,2003-09,7.66,83.98
2003,10,2003-10,7.8,84.732
2003,11,2003-11,7.866,84.874
2003,12,2003-12,7.864,85.47
2003,13,2003-13,7.839,84.976
2003,14,2003-14,7.856,85.142
2003,15,2003-15,7.827,85.508
2003,16,2003-16,7.866,86.047
2003,17,2003-17,7.831,85.89
2003,18,2003-18,7.805,85.533
2003,19,2003-19,7.868,86.318
2003,20,2003-20,7.865,85.746
2003,21,2003-21,7.884,85.962
2003,22,2003-22,7.871,85.795
2003,23,2003-23,8.04,88.164
2003,24,2003-24,8.185,89.99
2003,25,2003-25,8.178,90.104
2003,26,2003-26,8.225,89.864
2003,27,2003-27,8.276,89.994
2003,28,2003-28,8.295,90.632
2003,29,2003-29,8.349,91.004
2003,30,2003-30,8.304,89.904
2003,31,2003-31,8.196,89.19
2003,32,2003-32,8.182,88.756
2003,33,2003-33,8.265,89.426
2003,34,2003-34,8.301,89.784
2003,35,2003-35,8.296,89.706
2003,36,2003-36,8.223,89.864
2003,37,2003-37,8.261,90.59
2003,38,2003-38,8.218,90.432
2003,39,2003-39,8.103,90.332
2003,40,2003-40,8.171,90.93
2003,41,2003-41,8.205,91.362
2003,42,2003-42,8.245,91.9
2003,43,2003-43,8.255,91.276
2003,44,2003-44,8.227,91.01
2003,45,2003-45,8.237,91.252
2003,46,2003-46,8.208,91.502
2003,47,2003-47,8.183,91.194
2003,48,2003-48,8.16,90.61
2003,49,2003-49,8.13,90.472
2003,50,2003-50,8.136,90.886
2003,51,2003-51,8.273,91.406
2003,52,2003-52,8.365,92.003
2004,1,2004-01,8.418,92.77
2004,2,2004-02,8.559,94.06
2004,3,2004-03,8.577,93.688
2004,4,2004-04,8.597,93.954
2004,5,2004-05,8.676,94.73
2004,6,2004-06,8.715,94.992
2004,7,2004-07,8.802,96.418
2004,8,2004-08,8.803,95.834
2004,9,2004-09,8.781,95.276
2004,10,2004-10,8.68,94.006
2004,11,2004-11,8.619,93.788
2004,12,2004-12,8.49,91.76
2004,13,2004-13,8.439,91.262
2004,14,2004-14,8.436,91.216
2004,15,2004-15,8.375,91.077
2004,16,2004-16,8.292,90.36
2004,17,2004-17,8.269,90.238
2004,18,2004-18,8.213,90.04
2004,19,2004-19,8.174,89.57
2004,20,2004-20,8.169,89.24
2004,21,2004-21,8.275,90.637
2004,22,2004-22,8.214,90.19
2004,23,2004-23,8.187,89.648
2004,24,2004-24,8.226,90.126
2004,25,2004-25,8.333,91.02
2004,26,2004-26,8.333,90.998
2004,27,2004-27,8.403,91.81
2004,28,2004-28,8.463,92.15
2004,29,2004-29,8.489,92.246
2004,30,2004-30,8.485,92.29
2004,31,2004-31,8.468,91.88
2004,32,2004-32,8.398,91.324
2004,33,2004-33,8.316,90.384
2004,34,2004-34,8.284,89.836
2004,35,2004-35,8.309,90.8
2004,36,2004-36,8.357,91.546
2004,37,2004-37,8.324,91.312
2004,38,2004-38,8.397,92.18
2004,39,2004-39,8.378,92.5
2004,40,2004-40,8.347,92.246
2004,41,2004-41,8.286,91.586
2004,42,2004-42,8.211,90.488
2004,43,2004-43,8.231,90.596
2004,44,2004-44,8.193,90.554
2004,45,2004-45,8.166,90.046
2004,46,2004-46,8.171,90.27
2004,47,2004-47,8.112,90.48
2004,48,2004-48,8.136,91.052
2004,49,2004-49,8.129,90.908
2004,50,2004-50,8.19,91.45
2004,51,2004-51,8.207,91.428
2004,52,2004-52,8.263,91.85
2004,53,2004-53,8.259,91.68
2005,1,2005-01,8.244,91.36
2005,2,2005-02,8.197,90.634
2005,3,2005-03,8.176,90.468
2005,4,2005-04,8.224,90.63
2005,5,2005-05,8.275,91.086
2005,6,2005-06,8.39,92.344
2005,7,2005-07,8.36,91.994
2005,8,2005-08,8.263,90.87
2005,9,2005-09,8.217,90.752
2005,10,2005-10,8.189,90.438
2005,11,2005-11,8.166,89.786
2005,12,2005-12,8.163,89.407
2005,13,2005-13,8.202,89.723
2005,14,2005-14,8.171,89.15
2005,15,2005-15,8.204,89.508
2005,16,2005-16,8.187,89.128
2005,17,2005-17,8.14,88.944
2005,18,2005-18,8.126,88.423
2005,19,2005-19,8.098,88.018
2005,20,2005-20,8.114,88.21
2005,21,2005-21,8.048,87.592
2005,22,2005-22,7.924,86.556
2005,23,2005-23,7.876,85.828
2005,24,2005-24,7.864,84.87
2005,25,2005-25,7.906,84.992
2005,26,2005-26,7.916,84.016
2005,27,2005-27,7.9,83.804
2005,28,2005-28,7.918,84.036
2005,29,2005-29,7.971,84.564
2005,30,2005-30,7.899,83.83
2005,31,2005-31,7.864,83.988
2005,32,2005-32,7.901,84.66
2005,33,2005-33,7.95,85.278
2005,34,2005-34,7.962,85.19
2005,35,2005-35,7.865,84.354
2005,36,2005-36,7.809,83.806
2005,37,2005-37,7.805,83.792
2005,38,2005-38,7.787,83.31
2005,39,2005-39,7.832,83.624
2005,40,2005-40,7.884,84.63
2005,41,2005-41,7.833,83.604
2005,42,2005-42,7.807,82.424
2005,43,2005-43,7.821,82.246
2005,44,2005-44,7.796,81.346
2005,45,2005-45,7.761,81.01
2005,46,2005-46,7.824,81.55
2005,47,2005-47,7.871,82.674
2005,48,2005-48,7.936,83.66
2005,49,2005-49,7.909,84.052
2005,50,2005-50,7.962,84.304
2005,51,2005-51,8.031,85.182
2005,52,2005-52,8.012,84.985
2006,1,2006-01,7.948,85.01
2006,2,2006-02,8.015,85.846
2006,3,2006-03,8.099,86.832
2006,4,2006-04,8.057,86.992
2006,5,2006-05,8.07,87.204
2006,6,2006-06,8.04,86.642
2006,7,2006-07,8.109,86.668
2006,8,2006-08,8.052,85.736
2006,9,2006-09,8.02,84.848
2006,10,2006-10,7.994,84.648
2006,11,2006-11,7.976,85.12
2006,12,2006-12,7.957,84.996
2006,13,2006-13,7.959,84.696
2006,14,2006-14,7.891,84.262
2006,15,2006-15,7.841,83.987
2006,16,2006-16,7.824,84.078
2006,17,2006-17,7.806,83.722
2006,18,2006-18,7.763,83.308
2006,19,2006-19,7.776,83.336
2006,20,2006-20,7.817,83.315
2006,21,2006-21,7.819,83.885
2006,22,2006-22,7.804,84.204
2006,23,2006-23,7.804,84.673
2006,24,2006-24,7.828,84.576
2006,25,2006-25,7.911,85.67
2006,26,2006-26,7.919,85.776
2006,27,2006-27,7.959,86.638
2006,28,2006-28,7.954,86.622
2006,29,2006-29,7.934,85.82
2006,30,2006-30,7.923,85.64
2006,31,2006-31,7.873,85.438
2006,32,2006-32,7.928,86.328
2006,33,2006-33,8.039,87.32
2006,34,2006-34,8.052,87.48
2006,35,2006-35,8.066,87.046
2006,36,2006-36,8.162,87.596
2006,37,2006-37,8.319,89.996
2006,38,2006-38,8.292,90.014
2006,39,2006-39,8.285,89.258
2006,40,2006-40,8.385,90.072
2006,41,2006-41,8.416,90.876
2006,42,2006-42,8.459,91.474
2006,43,2006-43,8.35,90.628
2006,44,2006-44,8.291,90.144
2006,45,2006-45,8.235,90.21
2006,46,2006-46,8.229,90.66
2006,47,2006-47,8.261,91.052
2006,48,2006-48,8.226,90.81
2006,49,2006-49,8.127,89.804
2006,50,2006-50,8.143,89.912
2006,51,2006-51,8.155,90.536
2006,52,2006-52,8.235,91.123
